Id;bairro;nome_rua;segunda_manha;segunda_tarde;terca_manha;terca_tarde;quarta_manha;quarta_tarde;quinta_manha;quinta_tarde;sexta_manha;sexta_tarde;sabado_manha;sabado_tarde;tipo_coleta
528;Bairro Ponto Chic;Rua Salete;;X;;;;;;X;;;;;CONVENCIONAL
529;Bairro Areado;Rua Salvador;;;;;X;;;;;;;;CONVENCIONAL
530;Bairro São Miguel;Rua Santa Catarina;;;;;X;;;;;;;;CONVENCIONAL
531;Bairro Bela Vista;Rua Santa Cruz (até a Rua Adolfo Zeiser – exclusive);X;;;;;;X;;;;;;CONVENCIONAL
532;Bairro Progresso;Rua Santa Cruz  (da Rua Adolfo Zeiser – inclusive, até o final do perímetro urbano);X;;;;;;X;;;;;;CONVENCIONAL
533;Bairro Bela Vista;Rua Santos Dumont;X;;;;;;X;;;;;;CONVENCIONAL
534;Bairro São Miguel;Rua Salto Pilao;;;;;X;;;;;;;;CONVENCIONAL
535;Bairro São Miguel;Rua São Sebastião;;;;;X;;;;;;;;CONVENCIONAL
536;Bairro Ponto Chic;Rua Tancredo Neves;;X;;;;;;X;;;;;CONVENCIONAL
537;Bairro Centro;Rua Tiradentes;;X;;X;;X;;X;;X;X;;CONVENCIONAL
538;Bairro Areado;Rua Tocantins;;;;;X;;;;;;;;CONVENCIONAL
539;Bairro Taquaras;Rua Taquaras;;;X;;;;;;;;;;CONVENCIONAL
540;Bairro Progresso;Rua União;X;;;;;;X;;;;;;CONVENCIONAL
541;Bairro São Miguel;Rua Valdomiro Vieira;;;;;X;;;;;;;;CONVENCIONAL
542;Bairro Centro;Rua Vereador Alberto Laun;;X;;;;X;;;;X;;;CONVENCIONAL
543;Bairro Operário;Rua Vereador Gerd Schlegel;;;X;;;;;;X;;;;CONVENCIONAL
544;Bairro São Miguel;Rua Vicente F. de Amaral;;;;;X;;;;;;;;CONVENCIONAL
545;Bairro Progresso;Rua Victor Holetz;X;;;;;;X;;;;;;CONVENCIONAL
546;Bairro Centro;Rua Victor Meirelles;X;;;;;X;;;X;;;;CONVENCIONAL
547;Bairro Progresso;Rua Walter Frech;X;;;;;;X;;;;;;CONVENCIONAL
548;Bairro Progresso;Rua Walter Grahl;X;;;;;;X;;;;;;CONVENCIONAL
549;Bairro Bela Vista;Rua Walter Ideker;X;;;;;;X;;;;;;CONVENCIONAL
550;Bairro Bela Vista;Rua Werner Weber;X;;;;;;X;;;;;;CONVENCIONAL
551;Bairro Centro;Rua Willy Luderwaldt;X;;;;;X;;;X;;;;CONVENCIONAL
552;Bairro Bela Vista;Rua Professor Walter Kietzer;;;;;X;;;;;;;;CONVENCIONAL
553;Bairro São Miguel;Travessa André Lino;;;;;X;;;;;;;;CONVENCIONAL
554;Bairro São Miguel;Rua 19 de Dezembro;;;;;X;;;;;;;;CONVENCIONAL
